rank,n_cases,mean_dice,std_dice,min_dice,max_dice,mean_hd95,std_hd95,n_inf_hd95,mean_precision,mean_recall,mean_f1,mean_n_pred_lesions,mean_n_gt_lesions,mean_n_tp_lesions,elapsed_sec,MORPH_RADIUS,GAUSSIAN_SIGMA,FLAIR_MIN_THRESHOLD,DIFF_PERCENTILE,DIFF_MIN_THRESHOLD,BRAIN_EROSION_RADIUS,MIN_LESION_VOXELS
1,60,0.1457,0.1983,0.0,0.746,60.0623,14.9766,0,0.0426,0.019,0.0249,34.5167,78.75,1.4333,65.0,1,1.0,0.5,96.0,0.3,7,15
2,60,0.1457,0.1983,0.0,0.746,60.0623,14.9766,0,0.0426,0.019,0.0249,34.5167,78.75,1.4333,64.86,1,1.0,0.5,96.0,0.5,7,15
3,60,0.1457,0.1983,0.0,0.746,60.0623,14.9766,0,0.0426,0.019,0.0249,34.5167,78.75,1.4333,64.64,1,1.0,0.5,96.0,0.7,7,15
4,60,0.1456,0.1981,0.0,0.746,60.1245,14.9889,0,0.0419,0.019,0.0247,36.1667,78.75,1.4333,65.03,1,1.0,0.5,96.0,0.3,7,3
5,60,0.1456,0.1981,0.0,0.746,60.1245,14.9889,0,0.0419,0.019,0.0247,36.1667,78.75,1.4333,65.28,1,1.0,0.5,96.0,0.3,7,7
6,60,0.1456,0.1981,0.0,0.746,60.1245,14.9889,0,0.0419,0.019,0.0247,36.1667,78.75,1.4333,65.32,1,1.0,0.5,96.0,0.5,7,3
7,60,0.1456,0.1981,0.0,0.746,60.1245,14.9889,0,0.0419,0.019,0.0247,36.1667,78.75,1.4333,65.17,1,1.0,0.5,96.0,0.5,7,7
8,60,0.1456,0.1981,0.0,0.746,60.1245,14.9889,0,0.0419,0.019,0.0247,36.1667,78.75,1.4333,64.62,1,1.0,0.5,96.0,0.7,7,3
9,60,0.1456,0.1981,0.0,0.746,60.1245,14.9889,0,0.0419,0.019,0.0247,36.1667,78.75,1.4333,64.48,1,1.0,0.5,96.0,0.7,7,7
10,60,0.1454,0.2013,0.0,0.7446,62.3975,15.6895,0,0.0555,0.0183,0.026,25.4833,78.75,1.3667,57.9,1,1.0,0.5,97.0,0.3,7,15
